family,score,true_label,families,instance_id,content_id,image_path,original_path,relative_path,source_root,best_reference_instance_id,best_reference_content_id
next,0.7876638770103455,0,google_play,file_245ef374f6c4268c,asset_7dbc3094aa7539f0,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00001_google_play_asset_7dbc3094aa7539f0.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads2\assets\1_templates,file_9d15a57210e6aeca,asset_e4368f59b3fb23a5
next,0.34862637519836426,0,x_mark,file_c1b82b89ebab2308,asset_d94a12829e570c5c,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00002_x_mark_asset_d94a12829e570c5c.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.5242185592651367,0,x_mark,file_0796700f3e89b234,asset_62c0598db37c8764,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00003_x_mark_asset_62c0598db37c8764.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads2\assets\1_templates,file_8adc86c006864b12,asset_8829832efa233731
next,0.38025957345962524,0,x_mark,file_ed7ecf2d8c86d633,asset_643bd48faa917df4,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00004_x_mark_asset_643bd48faa917df4.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.4404454231262207,0,arrow,file_e98356e6d5b0d025,asset_759712a0fa58d9bb,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00005_arrow_asset_759712a0fa58d9bb.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.4740851819515228,0,x_mark,file_ff68673e47bf2194,asset_811965ed2f4bf3fe,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00006_x_mark_asset_811965ed2f4bf3fe.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.5048272609710693,0,x_mark,file_0c54c714e6e4e54c,asset_ef19a71539533c38,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00007_x_mark_asset_ef19a71539533c38.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads2\assets\1_templates,file_8adc86c006864b12,asset_8829832efa233731
next,0.5638699531555176,0,arrow,file_38f39cb8171bbccd,asset_f05a7a52f60d291b,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00008_arrow_asset_f05a7a52f60d291b.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.8403162360191345,0,google_play,file_01fce48c5f827243,asset_ee02f730b82612e5,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00009_google_play_asset_ee02f730b82612e5.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,ads2\assets\1_templates,file_9d15a57210e6aeca,asset_e4368f59b3fb23a5
next,0.6447645425796509,0,x_mark,file_53f6b240d7847ed6,asset_ca994ca16a3dcd00,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00010_x_mark_asset_ca994ca16a3dcd00.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.5531879663467407,0,x_mark,file_a4f0c7925d120a09,asset_2a7b5573529608a3,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00011_x_mark_asset_2a7b5573529608a3.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.6841467618942261,1,next,file_8adc86c006864b12,asset_8829832efa233731,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.8134790062904358,0,google_play,file_541955e3cd16d297,asset_bf08eee05826fbbb,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00013_google_play_asset_bf08eee05826fbbb.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,ads2\assets\1_templates,file_8aa403fa0a5d2da9,asset_6e9c3a68167cfe89
next,0.8071764707565308,0,google_play,file_f897e9b9181629ee,asset_d67b35832487e707,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00014_google_play_asset_d67b35832487e707.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,ads2\assets\1_templates,file_8aa403fa0a5d2da9,asset_6e9c3a68167cfe89
next,0.7967467308044434,0,google_play,file_183d636c777c6ea5,asset_0038b293d3fef86c,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00015_google_play_asset_0038b293d3fef86c.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads2\assets\1_templates,file_144f33590c886b45,asset_acdbf97adac6c560
next,0.5153504014015198,0,arrow,file_50c793b7bc956a13,asset_c67d1ef1a4afa50d,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00016_arrow_asset_c67d1ef1a4afa50d.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_1.png,ads2\assets\1_templates\close_icons\close_1.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.7435867786407471,0,arrow,file_13eecab8cd7c9374,asset_5b3fbaac886e6b1c,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00017_arrow_asset_5b3fbaac886e6b1c.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_10.png,ads2\assets\1_templates\close_icons\close_10.png,ads2\assets\1_templates,file_8adc86c006864b12,asset_8829832efa233731
next,0.6492363214492798,0,arrow,file_910f6d13ad48178b,asset_814457f65714bfe8,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00018_arrow_asset_814457f65714bfe8.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_11.png,ads2\assets\1_templates\close_icons\close_11.png,ads2\assets\1_templates,file_8aa403fa0a5d2da9,asset_6e9c3a68167cfe89
next,0.5828870534896851,0,x_mark,file_88b1cc8a3de93123,asset_44aa502360ac075b,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00019_x_mark_asset_44aa502360ac075b.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_12.png,ads2\assets\1_templates\close_icons\close_12.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.8439420461654663,0,arrow,file_a5a5bd5ba2f1d724,asset_781a510f3a857316,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00020_arrow_asset_781a510f3a857316.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_13.png,ads2\assets\1_templates\close_icons\close_13.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.4687565267086029,0,x_mark,file_e01dd7c029653e86,asset_7513f11f0e141a8c,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00021_x_mark_asset_7513f11f0e141a8c.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_14.png,ads2\assets\1_templates\close_icons\close_14.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.4989772439002991,0,arrow,file_4bf9c732ffcf4bd7,asset_b7e64faadd9ca7c4,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00022_arrow_asset_b7e64faadd9ca7c4.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_15.png,ads2\assets\1_templates\close_icons\close_15.png,ads2\assets\1_templates,file_144f33590c886b45,asset_acdbf97adac6c560
next,0.7735489010810852,0,arrow,file_f1c7f92038128586,asset_5d7e57a62103e2c1,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00023_arrow_asset_5d7e57a62103e2c1.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_16.png,ads2\assets\1_templates\close_icons\close_16.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.514900267124176,0,x_mark,file_c6293287feb9bff3,asset_9fdb4db2e3fe6848,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00024_x_mark_asset_9fdb4db2e3fe6848.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_17.png,ads2\assets\1_templates\close_icons\close_17.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.8168171048164368,0,arrow,file_54f5287c84fc7e1d,asset_db80ab2f7ad7e606,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00025_arrow_asset_db80ab2f7ad7e606.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_18.png,ads2\assets\1_templates\close_icons\close_18.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.7771903872489929,0,arrow,file_a195dd7ba6135547,asset_e3aa0c73c537c671,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00026_arrow_asset_e3aa0c73c537c671.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_19.png,ads2\assets\1_templates\close_icons\close_19.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.5118436813354492,0,x_mark,file_e16e35dc922172f8,asset_565f2f8c61c441ed,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00027_x_mark_asset_565f2f8c61c441ed.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_2.png,ads2\assets\1_templates\close_icons\close_2.png,ads2\assets\1_templates,file_8aa403fa0a5d2da9,asset_6e9c3a68167cfe89
next,0.8443715572357178,0,arrow,file_2200224e47c6acf2,asset_fe436527d7d5643c,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00028_arrow_asset_fe436527d7d5643c.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_20.png,ads2\assets\1_templates\close_icons\close_20.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
