family,threshold,support,tp,fp,tn,fn,precision,recall,f1
next,0.5,6,6,632,454,0,0.009404388714733543,1.0,0.018633540372670808
next,0.52,6,6,494,592,0,0.012,1.0,0.023715415019762848
next,0.54,6,6,412,674,0,0.014354066985645933,1.0,0.02830188679245283
next,0.56,6,6,363,723,0,0.016260162601626018,1.0,0.032
next,0.58,6,6,338,748,0,0.01744186046511628,1.0,0.03428571428571429
next,0.6,6,6,306,780,0,0.019230769230769232,1.0,0.03773584905660378
next,0.62,6,6,255,831,0,0.022988505747126436,1.0,0.0449438202247191
next,0.64,6,6,189,897,0,0.03076923076923077,1.0,0.059701492537313446
next,0.66,6,6,160,926,0,0.03614457831325301,1.0,0.06976744186046512
next,0.68,6,6,128,958,0,0.04477611940298507,1.0,0.08571428571428572
next,0.7,6,5,117,969,1,0.040983606557377046,0.8333333333333334,0.07812499999999999
next,0.72,6,5,111,975,1,0.04310344827586207,0.8333333333333334,0.0819672131147541
next,0.74,6,4,104,982,2,0.037037037037037035,0.6666666666666666,0.07017543859649122
next,0.76,6,2,90,996,4,0.021739130434782608,0.3333333333333333,0.04081632653061224
next,0.78,6,2,25,1061,4,0.07407407407407407,0.3333333333333333,0.12121212121212122
next,0.8,6,2,17,1069,4,0.10526315789473684,0.3333333333333333,0.16
next,0.82,6,0,5,1081,6,0.0,0.0,0.0
next,0.84,6,0,4,1082,6,0.0,0.0,0.0
next,0.86,6,0,1,1085,6,0.0,0.0,0.0
next,0.88,6,0,1,1085,6,0.0,0.0,0.0
next,0.9,6,0,1,1085,6,0.0,0.0,0.0
next,0.92,6,0,0,1086,6,0.0,0.0,0.0
next,0.94,6,0,0,1086,6,0.0,0.0,0.0
next,0.96,6,0,0,1086,6,0.0,0.0,0.0
next,0.98,6,0,0,1086,6,0.0,0.0,0.0
google_play,0.5,9,9,372,711,0,0.023622047244094488,1.0,0.046153846153846156
google_play,0.52,9,9,344,739,0,0.025495750708215296,1.0,0.04972375690607735
google_play,0.54,9,9,331,752,0,0.026470588235294117,1.0,0.05157593123209169
google_play,0.56,9,9,306,777,0,0.02857142857142857,1.0,0.05555555555555556
google_play,0.58,9,9,276,807,0,0.031578947368421054,1.0,0.061224489795918366
google_play,0.6,9,9,202,881,0,0.04265402843601896,1.0,0.08181818181818182
google_play,0.62,9,9,176,907,0,0.04864864864864865,1.0,0.09278350515463918
google_play,0.64,9,9,167,916,0,0.05113636363636364,1.0,0.09729729729729732
google_play,0.66,9,9,142,941,0,0.059602649006622516,1.0,0.11249999999999999
google_play,0.68,9,9,124,959,0,0.06766917293233082,1.0,0.1267605633802817
google_play,0.7,9,9,114,969,0,0.07317073170731707,1.0,0.13636363636363635
google_play,0.72,9,9,107,976,0,0.07758620689655173,1.0,0.144
google_play,0.74,9,9,72,1011,0,0.1111111111111111,1.0,0.19999999999999998
google_play,0.76,9,9,70,1013,0,0.11392405063291139,1.0,0.20454545454545456
google_play,0.78,9,9,68,1015,0,0.11688311688311688,1.0,0.20930232558139536
google_play,0.8,9,9,67,1016,0,0.11842105263157894,1.0,0.2117647058823529
google_play,0.82,9,9,60,1023,0,0.13043478260869565,1.0,0.23076923076923078
google_play,0.84,9,7,59,1024,2,0.10606060606060606,0.7777777777777778,0.18666666666666665
google_play,0.86,9,7,5,1078,2,0.5833333333333334,0.7777777777777778,0.6666666666666666
google_play,0.88,9,7,3,1080,2,0.7,0.7777777777777778,0.7368421052631577
google_play,0.9,9,7,2,1081,2,0.7777777777777778,0.7777777777777778,0.7777777777777778
google_play,0.92,9,6,0,1083,3,1.0,0.6666666666666666,0.8
google_play,0.94,9,4,0,1083,5,1.0,0.4444444444444444,0.6153846153846153
google_play,0.96,9,4,0,1083,5,1.0,0.4444444444444444,0.6153846153846153
google_play,0.98,9,4,0,1083,5,1.0,0.4444444444444444,0.6153846153846153
