image_path,families,label_x_mark,label_play_triangle,label_google_play,label_next,label_free,label_got,label_arrow,split,group_key,instance_id,content_id,relative_path,is_confirmed_strong_hard_negative,review_status,source_screen,original_path,vision_domain,asset_type,asset_role,image_scope,representation,source_root,pool_status,pool_role,is_none_of_the_above,hard_negative_source,evaluation_status
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_000.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_f00afa7a3f73c29e,asset_synth_next_2e895f5581d02b05,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_000.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_001.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_1b6300ac76cf801c,asset_synth_next_b317e0ad5f4b1512,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_001.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_002.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_3e905a501aa379e6,asset_synth_next_be91cb3da74da7d0,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_002.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_003.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_0a2ce79ebdacd581,asset_synth_next_dace51efc7b83d70,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_003.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_004.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_5b8cee3300c4fe13,asset_synth_next_9806ebd9ec9b3a1d,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_004.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_005.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_587aede03f3e7d82,asset_synth_next_7059ec1181f045ef,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_005.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_006.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_0e341bc2d33f6b56,asset_synth_next_641b6ec1d9b905e4,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_006.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_007.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_cf5bc906508114e3,asset_synth_next_1f4d6cd3a4fbb5bf,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_007.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_008.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_c5c5239ef1277f54,asset_synth_next_b5570851d0719887,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_008.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_009.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_8c879e95a20d74ee,asset_synth_next_1e110725909e65d9,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_009.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
