instance_id,content_id,relative_path,event_id,review_reasons,proposal_source,template_name,expected_family,expected_p,top_family,top_p,suggestion_family,bbox_crop
file_ef7847f1a3e13f6f,asset_3786a8943f021398,vision_platform\ads\runtime_collection\click_success\click_success_20260720_120545_838\crops\bbox.png,20260720_120545_838,expected_low_confidence|expected_top_disagreement|low_top_score,close_template,close_15.png,x_mark,0.035529639882346,arrow,0.6883719364802042,arrow,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120545_838\crops\bbox.png
file_2269be9353bee5c6,asset_79e954044fca8fb6,vision_platform\ads\runtime_collection\click_success\click_success_20260720_120431_596\crops\bbox.png,20260720_120431_596,expected_low_confidence|expected_top_disagreement|low_top_score,close_template,close_15.png,x_mark,0.0409569904829065,arrow,0.6949257055918375,arrow,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120431_596\crops\bbox.png
file_8be59862c235f27e,asset_1ab8ecd774248918,vision_platform\ads\runtime_collection\click_success\click_success_20260720_115743_457\crops\bbox.png,20260720_115743_457,expected_low_confidence|expected_top_disagreement|low_top_score,close_template,close_15.png,x_mark,0.046804336830973625,arrow,0.6954102714856466,arrow,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_115743_457\crops\bbox.png
file_8fd3a5a25e1095fd,asset_d2721e9937710212,vision_platform\ads\runtime_collection\click_success\click_success_20260720_130847_331\crops\bbox.png,20260720_130847_331,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.37422991792360943,arrow,0.9586308002471924,arrow,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_130847_331\crops\bbox.png
file_4c198ce3702c34f5,asset_39bc45d9766294fb,vision_platform\ads\runtime_collection\click_success\click_success_20260720_115722_340\crops\bbox.png,20260720_115722_340,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.40262166659037274,arrow,0.9522456526756287,arrow,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_115722_340\crops\bbox.png
file_90bae0cd0340f4b9,asset_ed1c2fffbf6fd4ca,vision_platform\ads\runtime_collection\click_success\click_success_20260720_131727_006\crops\bbox.png,20260720_131727_006,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.45093796650568646,arrow,0.9556382695833842,arrow,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_131727_006\crops\bbox.png
file_12c93a1807313e8b,asset_16230f25d593b8d2,vision_platform\ads\runtime_collection\click_success\click_success_20260720_120525_036\crops\bbox.png,20260720_120525_036,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.45316871007283527,arrow,0.9533648292223612,arrow,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120525_036\crops\bbox.png
file_4342f016a4fb45c5,asset_8397aa85ed86bb88,vision_platform\ads\runtime_collection\click_success\click_success_20260720_131747_541\crops\bbox.png,20260720_131747_541,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.4629531403382619,arrow,0.9615115523338318,arrow,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_131747_541\crops\bbox.png
file_97b241905407e4aa,asset_86cc2d14cf66532b,vision_platform\ads\runtime_collection\click_success\click_success_20260720_120450_838\crops\bbox.png,20260720_120450_838,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.47470976909001666,arrow,0.9547586838404337,arrow,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_120450_838\crops\bbox.png
file_566e37128936ebf1,asset_bc61648d042b5b94,vision_platform\ads\runtime_collection\click_success\click_success_20260720_130835_707\crops\bbox.png,20260720_130835_707,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.49915794531504315,arrow,0.9465758601824442,arrow,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_130835_707\crops\bbox.png
file_995a05c906d4098b,asset_8e99ec0c477b33fe,vision_platform\ads\runtime_collection\click_success\click_success_20260720_102915_215\crops\bbox.png,20260720_102915_215,low_top_score,close_template,close_2.png,x_mark,0.681676427523295,x_mark,0.681676427523295,x_mark,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_102915_215\crops\bbox.png
file_0c066f4fb2fde372,asset_cdab7b53d56c9cd2,vision_platform\ads\runtime_collection\click_success\click_success_20260720_110136_157\crops\bbox.png,20260720_110136_157,low_top_score,got_template,got2.png,got,0.7115700244903564,got,0.7115700244903564,got,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_110136_157\crops\bbox.png
file_5f385969b4e9b264,asset_238fd02898ddf365,vision_platform\ads\runtime_collection\click_success\click_success_20260720_131651_761\crops\bbox.png,20260720_131651_761,low_top_score,close_template,ad_issue_20260606_052002_roi_15.png,x_mark,0.7370942831039429,x_mark,0.7370942831039429,x_mark,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_131651_761\crops\bbox.png
