seed,family,support,tp,fp,tn,fn,precision,recall,f1
42,x_mark,28,26,13,160,2,0.6667,0.9286,0.7761
42,play_triangle,22,20,9,170,2,0.6897,0.9091,0.7843
42,google_play,3,3,14,184,0,0.1765,1.0,0.3
42,next,2,1,14,185,1,0.0667,0.5,0.1176
42,free,4,4,12,185,0,0.25,1.0,0.4
42,got,32,32,0,169,0,1.0,1.0,1.0
42,arrow,7,7,7,187,0,0.5,1.0,0.6667
43,x_mark,28,28,10,163,0,0.7368,1.0,0.8485
43,play_triangle,22,20,8,171,2,0.7143,0.9091,0.8
43,google_play,3,3,14,184,0,0.1765,1.0,0.3
43,next,2,1,16,183,1,0.0588,0.5,0.1053
43,free,4,4,11,186,0,0.2667,1.0,0.4211
43,got,32,32,0,169,0,1.0,1.0,1.0
43,arrow,7,7,5,189,0,0.5833,1.0,0.7368
44,x_mark,28,26,14,159,2,0.65,0.9286,0.7647
44,play_triangle,22,20,3,176,2,0.8696,0.9091,0.8889
44,google_play,3,3,15,183,0,0.1667,1.0,0.2857
44,next,2,1,14,185,1,0.0667,0.5,0.1176
44,free,4,4,12,185,0,0.25,1.0,0.4
44,got,32,32,0,169,0,1.0,1.0,1.0
44,arrow,7,6,8,186,1,0.4286,0.8571,0.5714
