seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.85,28,25,1,172,3,0.9615,0.8929,0.9259,103,0,0.0
seed42,play_triangle,0.7,22,20,2,177,2,0.9091,0.9091,0.9091,103,1,0.0097
seed42,google_play,0.9,3,3,0,198,0,1.0,1.0,1.0,103,0,0.0
seed42,next,0.8,2,1,0,199,1,1.0,0.5,0.6667,103,0,0.0
seed42,free,0.65,4,3,0,197,1,1.0,0.75,0.8571,103,0,0.0
seed42,got,0.3,32,32,0,169,0,1.0,1.0,1.0,103,0,0.0
seed42,arrow,0.7,7,7,0,194,0,1.0,1.0,1.0,103,0,0.0
seed43,x_mark,0.8,28,26,1,172,2,0.963,0.9286,0.9455,103,0,0.0
seed43,play_triangle,0.7,22,20,1,178,2,0.9524,0.9091,0.9302,103,0,0.0
seed43,google_play,0.7,3,3,1,197,0,0.75,1.0,0.8571,103,0,0.0
seed43,next,0.75,2,1,0,199,1,1.0,0.5,0.6667,103,0,0.0
seed43,free,0.8,4,4,0,197,0,1.0,1.0,1.0,103,0,0.0
seed43,got,0.35,32,32,0,169,0,1.0,1.0,1.0,103,0,0.0
seed43,arrow,0.85,7,5,0,194,2,1.0,0.7143,0.8333,103,0,0.0
seed44,x_mark,0.85,28,25,1,172,3,0.9615,0.8929,0.9259,103,0,0.0
seed44,play_triangle,0.8,22,20,1,178,2,0.9524,0.9091,0.9302,103,0,0.0
seed44,google_play,0.9,3,3,0,198,0,1.0,1.0,1.0,103,0,0.0
seed44,next,0.65,2,1,0,199,1,1.0,0.5,0.6667,103,0,0.0
seed44,free,0.75,4,3,0,197,1,1.0,0.75,0.8571,103,0,0.0
seed44,got,0.25,32,32,0,169,0,1.0,1.0,1.0,103,0,0.0
seed44,arrow,0.75,7,6,0,194,1,1.0,0.8571,0.9231,103,0,0.0
