seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.05,28,28,66,107,0,0.2979,1.0,0.459,103,42,0.4078
seed42,x_mark,0.1,28,28,34,139,0,0.4516,1.0,0.6222,103,25,0.2427
seed42,x_mark,0.15,28,28,32,141,0,0.4667,1.0,0.6364,103,24,0.233
seed42,x_mark,0.2,28,26,24,149,2,0.52,0.9286,0.6667,103,20,0.1942
seed42,x_mark,0.25,28,26,23,150,2,0.5306,0.9286,0.6753,103,19,0.1845
seed42,x_mark,0.3,28,26,21,152,2,0.5532,0.9286,0.6933,103,17,0.165
seed42,x_mark,0.35,28,26,16,157,2,0.619,0.9286,0.7429,103,12,0.1165
seed42,x_mark,0.4,28,26,15,158,2,0.6341,0.9286,0.7536,103,11,0.1068
seed42,x_mark,0.45,28,26,15,158,2,0.6341,0.9286,0.7536,103,11,0.1068
seed42,x_mark,0.5,28,26,13,160,2,0.6667,0.9286,0.7761,103,9,0.0874
seed42,x_mark,0.55,28,26,12,161,2,0.6842,0.9286,0.7879,103,8,0.0777
seed42,x_mark,0.6,28,26,12,161,2,0.6842,0.9286,0.7879,103,8,0.0777
seed42,x_mark,0.65,28,26,10,163,2,0.7222,0.9286,0.8125,103,6,0.0583
seed42,x_mark,0.7,28,26,10,163,2,0.7222,0.9286,0.8125,103,6,0.0583
seed42,x_mark,0.75,28,26,4,169,2,0.8667,0.9286,0.8966,103,0,0.0
seed42,x_mark,0.8,28,26,3,170,2,0.8966,0.9286,0.9123,103,0,0.0
seed42,x_mark,0.85,28,25,1,172,3,0.9615,0.8929,0.9259,103,0,0.0
seed42,x_mark,0.9,28,24,0,173,4,1.0,0.8571,0.9231,103,0,0.0
seed42,x_mark,0.95,28,19,0,173,9,1.0,0.6786,0.8085,103,0,0.0
seed42,play_triangle,0.05,22,22,77,102,0,0.2222,1.0,0.3636,103,48,0.466
seed42,play_triangle,0.1,22,22,59,120,0,0.2716,1.0,0.4272,103,35,0.3398
seed42,play_triangle,0.15,22,21,41,138,1,0.3387,0.9545,0.5,103,23,0.2233
seed42,play_triangle,0.2,22,21,35,144,1,0.375,0.9545,0.5385,103,20,0.1942
seed42,play_triangle,0.25,22,20,31,148,2,0.3922,0.9091,0.5479,103,17,0.165
seed42,play_triangle,0.3,22,20,24,155,2,0.4545,0.9091,0.6061,103,11,0.1068
seed42,play_triangle,0.35,22,20,19,160,2,0.5128,0.9091,0.6557,103,10,0.0971
seed42,play_triangle,0.4,22,20,16,163,2,0.5556,0.9091,0.6897,103,8,0.0777
seed42,play_triangle,0.45,22,20,11,168,2,0.6452,0.9091,0.7547,103,6,0.0583
seed42,play_triangle,0.5,22,20,9,170,2,0.6897,0.9091,0.7843,103,6,0.0583
seed42,play_triangle,0.55,22,20,9,170,2,0.6897,0.9091,0.7843,103,6,0.0583
seed42,play_triangle,0.6,22,20,8,171,2,0.7143,0.9091,0.8,103,6,0.0583
seed42,play_triangle,0.65,22,20,3,176,2,0.8696,0.9091,0.8889,103,1,0.0097
seed42,play_triangle,0.7,22,20,2,177,2,0.9091,0.9091,0.9091,103,1,0.0097
seed42,play_triangle,0.75,22,20,2,177,2,0.9091,0.9091,0.9091,103,1,0.0097
seed42,play_triangle,0.8,22,20,2,177,2,0.9091,0.9091,0.9091,103,1,0.0097
seed42,play_triangle,0.85,22,18,1,178,4,0.9474,0.8182,0.878,103,0,0.0
seed42,play_triangle,0.9,22,16,1,178,6,0.9412,0.7273,0.8205,103,0,0.0
