family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
x_mark,0.05,28.0,28.0,66.0,107.0,0.0,0.2982,1.0,0.4593,103.0,41.3333,0.4013
x_mark,0.1,28.0,28.0,33.6667,139.3333,0.0,0.455,1.0,0.6252,103.0,25.3333,0.246
x_mark,0.15,28.0,27.3333,27.6667,145.3333,0.6667,0.4991,0.9762,0.6598,103.0,21.6667,0.2104
x_mark,0.2,28.0,26.6667,20.0,153.0,1.3333,0.5739,0.9524,0.7157,103.0,15.6667,0.1521
x_mark,0.25,28.0,26.6667,18.3333,154.6667,1.3333,0.5955,0.9524,0.7322,103.0,14.0,0.1359
x_mark,0.3,28.0,26.6667,17.0,156.0,1.3333,0.6128,0.9524,0.7452,103.0,12.6667,0.123
x_mark,0.35,28.0,26.6667,14.6667,158.3333,1.3333,0.6454,0.9524,0.7694,103.0,10.6667,0.1036
x_mark,0.4,28.0,26.6667,13.3333,159.6667,1.3333,0.6674,0.9524,0.7847,103.0,9.3333,0.0906
x_mark,0.45,28.0,26.6667,13.0,160.0,1.3333,0.6737,0.9524,0.7889,103.0,9.0,0.0874
x_mark,0.5,28.0,26.6667,12.3333,160.6667,1.3333,0.6845,0.9524,0.7964,103.0,8.3333,0.0809
x_mark,0.55,28.0,26.0,11.0,162.0,2.0,0.7038,0.9286,0.8004,103.0,7.3333,0.0712
x_mark,0.6,28.0,26.0,10.3333,162.6667,2.0,0.7164,0.9286,0.8086,103.0,6.6667,0.0647
x_mark,0.65,28.0,26.0,9.6667,163.3333,2.0,0.7291,0.9286,0.8168,103.0,6.0,0.0583
x_mark,0.7,28.0,26.0,8.0,165.0,2.0,0.7679,0.9286,0.8398,103.0,4.3333,0.0421
x_mark,0.75,28.0,26.0,4.0,169.0,2.0,0.8667,0.9286,0.8966,103.0,0.3333,0.0032
x_mark,0.8,28.0,25.6667,2.3333,170.6667,2.3333,0.9175,0.9167,0.9169,103.0,0.0,0.0
x_mark,0.85,28.0,25.0,1.0,172.0,3.0,0.9615,0.8929,0.9259,103.0,0.0,0.0
x_mark,0.9,28.0,24.3333,0.6667,172.3333,3.6667,0.9738,0.869,0.9182,103.0,0.0,0.0
x_mark,0.95,28.0,20.3333,0.0,173.0,7.6667,1.0,0.7262,0.8397,103.0,0.0,0.0
play_triangle,0.05,22.0,22.0,68.6667,110.3333,0.0,0.2439,1.0,0.3918,103.0,42.6667,0.4142
play_triangle,0.1,22.0,21.6667,46.0,133.0,0.3333,0.3275,0.9848,0.4895,103.0,26.6667,0.2589
play_triangle,0.15,22.0,21.0,35.6667,143.3333,1.0,0.3736,0.9545,0.5361,103.0,19.0,0.1845
play_triangle,0.2,22.0,21.0,30.0,149.0,1.0,0.4174,0.9545,0.5791,103.0,17.3333,0.1683
play_triangle,0.25,22.0,20.3333,23.3333,155.6667,1.6667,0.4789,0.9242,0.6273,103.0,14.0,0.1359
play_triangle,0.3,22.0,20.0,19.0,160.0,2.0,0.5185,0.9091,0.6587,103.0,10.6667,0.1036
play_triangle,0.35,22.0,20.0,17.0,162.0,2.0,0.5439,0.9091,0.6796,103.0,10.3333,0.1003
play_triangle,0.4,22.0,20.0,13.0,166.0,2.0,0.6111,0.9091,0.7294,103.0,8.3333,0.0809
play_triangle,0.45,22.0,20.0,8.0,171.0,2.0,0.7198,0.9091,0.8019,103.0,5.0,0.0485
play_triangle,0.5,22.0,20.0,6.6667,172.3333,2.0,0.7578,0.9091,0.8244,103.0,4.3333,0.0421
play_triangle,0.55,22.0,20.0,4.6667,174.3333,2.0,0.8228,0.9091,0.8608,103.0,2.6667,0.0259
play_triangle,0.6,22.0,20.0,4.3333,174.6667,2.0,0.831,0.9091,0.866,103.0,2.6667,0.0259
play_triangle,0.65,22.0,20.0,2.6667,176.3333,2.0,0.8827,0.9091,0.8956,103.0,1.0,0.0097
play_triangle,0.7,22.0,20.0,1.6667,177.3333,2.0,0.9235,0.9091,0.9161,103.0,0.6667,0.0065
play_triangle,0.75,22.0,20.0,1.6667,177.3333,2.0,0.9235,0.9091,0.9161,103.0,0.6667,0.0065
play_triangle,0.8,22.0,20.0,1.3333,177.6667,2.0,0.938,0.9091,0.9232,103.0,0.3333,0.0032
play_triangle,0.85,22.0,19.0,1.0,178.0,3.0,0.9499,0.8636,0.9043,103.0,0.0,0.0
play_triangle,0.9,22.0,18.0,0.6667,178.3333,4.0,0.9645,0.8182,0.8836,103.0,0.0,0.0
