seed,family,support,tp,fp,tn,fn,precision,recall,f1
42,x_mark,15,13,6,155,2,0.6842,0.8667,0.7647
42,play_triangle,5,5,0,171,0,1.0,1.0,1.0
42,google_play,2,2,4,170,0,0.3333,1.0,0.5
42,next,1,1,2,173,0,0.3333,1.0,0.5
42,free,3,2,2,171,1,0.5,0.6667,0.5714
42,got,21,20,1,154,1,0.9524,0.9524,0.9524
42,arrow,18,14,10,148,4,0.5833,0.7778,0.6667
43,x_mark,15,13,7,154,2,0.65,0.8667,0.7429
43,play_triangle,5,5,0,171,0,1.0,1.0,1.0
43,google_play,2,2,3,171,0,0.4,1.0,0.5714
43,next,1,1,4,171,0,0.2,1.0,0.3333
43,free,3,2,2,171,1,0.5,0.6667,0.5714
43,got,21,20,1,154,1,0.9524,0.9524,0.9524
43,arrow,18,14,8,150,4,0.6364,0.7778,0.7
44,x_mark,15,13,9,152,2,0.5909,0.8667,0.7027
44,play_triangle,5,5,0,171,0,1.0,1.0,1.0
44,google_play,2,2,5,169,0,0.2857,1.0,0.4444
44,next,1,1,6,169,0,0.1429,1.0,0.25
44,free,3,2,2,171,1,0.5,0.6667,0.5714
44,got,21,20,1,154,1,0.9524,0.9524,0.9524
44,arrow,18,15,9,149,3,0.625,0.8333,0.7143
