family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
x_mark,0.05,18.0,18.0,110.6667,58.3333,0.0,0.1442,1.0,0.2513,80.0,60.3333,0.7542
x_mark,0.1,18.0,18.0,59.0,110.0,0.0,0.237,1.0,0.3824,80.0,31.6667,0.3958
x_mark,0.15,18.0,18.0,42.3333,126.6667,0.0,0.3044,1.0,0.4652,80.0,20.6667,0.2583
x_mark,0.2,18.0,18.0,33.3333,135.6667,0.0,0.3598,1.0,0.5267,80.0,16.0,0.2
x_mark,0.25,18.0,18.0,23.3333,145.6667,0.0,0.4576,1.0,0.6219,80.0,9.3333,0.1167
x_mark,0.3,18.0,18.0,16.6667,152.3333,0.0,0.5331,1.0,0.6916,80.0,4.6667,0.0583
x_mark,0.35,18.0,18.0,15.6667,153.3333,0.0,0.5463,1.0,0.7034,80.0,4.3333,0.0542
x_mark,0.4,18.0,18.0,14.6667,154.3333,0.0,0.5579,1.0,0.7143,80.0,3.3333,0.0417
x_mark,0.45,18.0,18.0,12.3333,156.6667,0.0,0.5944,1.0,0.7453,80.0,2.3333,0.0292
x_mark,0.5,18.0,17.6667,10.0,159.0,0.3333,0.6391,0.9815,0.7738,80.0,1.0,0.0125
x_mark,0.55,18.0,17.6667,8.3333,160.6667,0.3333,0.6802,0.9815,0.8033,80.0,0.6667,0.0083
x_mark,0.6,18.0,17.6667,7.6667,161.3333,0.3333,0.6979,0.9815,0.8157,80.0,0.6667,0.0083
x_mark,0.65,18.0,17.6667,6.6667,162.3333,0.3333,0.7267,0.9815,0.835,80.0,0.0,0.0
x_mark,0.7,18.0,17.0,6.3333,162.6667,1.0,0.7283,0.9444,0.8223,80.0,0.0,0.0
x_mark,0.75,18.0,15.6667,6.3333,162.6667,2.3333,0.7117,0.8704,0.7828,80.0,0.0,0.0
x_mark,0.8,18.0,14.0,6.0,163.0,4.0,0.7,0.7778,0.7368,80.0,0.0,0.0
x_mark,0.85,18.0,12.3333,6.0,163.0,5.6667,0.6718,0.6852,0.678,80.0,0.0,0.0
x_mark,0.9,18.0,9.3333,5.6667,163.3333,8.6667,0.6185,0.5185,0.5612,80.0,0.0,0.0
x_mark,0.95,18.0,5.0,0.0,169.0,13.0,1.0,0.2778,0.4084,80.0,0.0,0.0
play_triangle,0.05,30.0,30.0,38.6667,118.3333,0.0,0.4404,1.0,0.6105,80.0,20.3333,0.2542
play_triangle,0.1,30.0,30.0,21.6667,135.3333,0.0,0.5844,1.0,0.7365,80.0,6.3333,0.0792
play_triangle,0.15,30.0,30.0,12.6667,144.3333,0.0,0.7078,1.0,0.8275,80.0,2.0,0.025
play_triangle,0.2,30.0,30.0,7.3333,149.6667,0.0,0.8101,1.0,0.8933,80.0,2.0,0.025
play_triangle,0.25,30.0,30.0,3.0,154.0,0.0,0.9107,1.0,0.9529,80.0,0.6667,0.0083
play_triangle,0.3,30.0,30.0,2.6667,154.3333,0.0,0.9191,1.0,0.9577,80.0,0.6667,0.0083
play_triangle,0.35,30.0,30.0,2.6667,154.3333,0.0,0.9191,1.0,0.9577,80.0,0.6667,0.0083
play_triangle,0.4,30.0,30.0,2.0,155.0,0.0,0.9375,1.0,0.9677,80.0,0.0,0.0
play_triangle,0.45,30.0,20.6667,2.0,155.0,9.3333,0.7917,0.6889,0.6844,80.0,0.0,0.0
play_triangle,0.5,30.0,20.6667,2.0,155.0,9.3333,0.7917,0.6889,0.6844,80.0,0.0,0.0
play_triangle,0.55,30.0,2.0,2.0,155.0,28.0,0.5,0.0667,0.1176,80.0,0.0,0.0
play_triangle,0.6,30.0,2.0,2.0,155.0,28.0,0.5,0.0667,0.1176,80.0,0.0,0.0
play_triangle,0.65,30.0,2.0,2.0,155.0,28.0,0.5,0.0667,0.1176,80.0,0.0,0.0
play_triangle,0.7,30.0,2.0,2.0,155.0,28.0,0.5,0.0667,0.1176,80.0,0.0,0.0
play_triangle,0.75,30.0,2.0,2.0,155.0,28.0,0.5,0.0667,0.1176,80.0,0.0,0.0
play_triangle,0.8,30.0,2.0,2.0,155.0,28.0,0.5,0.0667,0.1176,80.0,0.0,0.0
play_triangle,0.85,30.0,2.0,2.0,155.0,28.0,0.5,0.0667,0.1176,80.0,0.0,0.0
