instance_id,content_id,relative_path,image_path,families,source_screen,group_key
file_2fc3a9ed2d1cc0ce,asset_9ef01bef87a3d333,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000001.png,vision_platform\ads\pilot\visual_family_smoke_20260721\development_retrain_with_20260720_click_success\dataset\images\vf_00299_negative_asset_9ef01bef87a3d333.png,negative,,content:asset_9ef01bef87a3d333
file_1b66dc3515ba6eee,asset_1355d96717c8cd0d,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000030.png,vision_platform\ads\pilot\visual_family_smoke_20260721\development_retrain_with_20260720_click_success\dataset\images\vf_00328_negative_asset_1355d96717c8cd0d.png,negative,,content:asset_1355d96717c8cd0d
file_5990fed2f5a1fb53,asset_1355d96717c8cd0d,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000035.png,vision_platform\ads\pilot\visual_family_smoke_20260721\development_retrain_with_20260720_click_success\dataset\images\vf_00333_negative_asset_1355d96717c8cd0d.png,negative,,content:asset_1355d96717c8cd0d
file_a8aaffec5ace5590,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000137.png,vision_platform\ads\pilot\visual_family_smoke_20260721\development_retrain_with_20260720_click_success\dataset\images\vf_00435_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_67e22b67ffdb6d58,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000141.png,vision_platform\ads\pilot\visual_family_smoke_20260721\development_retrain_with_20260720_click_success\dataset\images\vf_00439_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_2c0d23f19bece0c6,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000145.png,vision_platform\ads\pilot\visual_family_smoke_20260721\development_retrain_with_20260720_click_success\dataset\images\vf_00443_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_3486060ad0e8ad4f,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000149.png,vision_platform\ads\pilot\visual_family_smoke_20260721\development_retrain_with_20260720_click_success\dataset\images\vf_00447_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_d6b89e850c393744,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000153.png,vision_platform\ads\pilot\visual_family_smoke_20260721\development_retrain_with_20260720_click_success\dataset\images\vf_00451_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_d24f52806af63653,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000157.png,vision_platform\ads\pilot\visual_family_smoke_20260721\development_retrain_with_20260720_click_success\dataset\images\vf_00455_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_ef847d000f83a44b,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000188.png,vision_platform\ads\pilot\visual_family_smoke_20260721\development_retrain_with_20260720_click_success\dataset\images\vf_00486_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_57eb253678d502b3,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000191.png,vision_platform\ads\pilot\visual_family_smoke_20260721\development_retrain_with_20260720_click_success\dataset\images\vf_00489_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_aa3578c23f6f013e,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000195.png,vision_platform\ads\pilot\visual_family_smoke_20260721\development_retrain_with_20260720_click_success\dataset\images\vf_00493_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_15cb9fd3b7b16124,asset_35ac884fc325961e,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000224.png,vision_platform\ads\pilot\visual_family_smoke_20260721\development_retrain_with_20260720_click_success\dataset\images\vf_00522_negative_asset_35ac884fc325961e.png,negative,,content:asset_35ac884fc325961e
