seed,family,support,tp,fp,tn,fn,precision,recall,f1
42,x_mark,23,17,8,128,6,0.68,0.7391,0.7083
42,play_triangle,2,1,2,155,1,0.3333,0.5,0.4
42,google_play,1,0,1,157,1,0.0,0.0,0.0
42,next,1,0,23,135,1,0.0,0.0,0.0
42,free,16,12,0,143,4,1.0,0.75,0.8571
42,got,24,24,0,135,0,1.0,1.0,1.0
42,arrow,18,16,23,118,2,0.4103,0.8889,0.5614
43,x_mark,23,16,9,127,7,0.64,0.6957,0.6667
43,play_triangle,2,2,1,156,0,0.6667,1.0,0.8
43,google_play,1,0,1,157,1,0.0,0.0,0.0
43,next,1,0,10,148,1,0.0,0.0,0.0
43,free,16,11,0,143,5,1.0,0.6875,0.8148
43,got,24,24,0,135,0,1.0,1.0,1.0
43,arrow,18,16,20,121,2,0.4444,0.8889,0.5926
44,x_mark,23,17,7,129,6,0.7083,0.7391,0.7234
44,play_triangle,2,2,1,156,0,0.6667,1.0,0.8
44,google_play,1,0,4,154,1,0.0,0.0,0.0
44,next,1,0,2,156,1,0.0,0.0,0.0
44,free,16,11,0,143,5,1.0,0.6875,0.8148
44,got,24,23,0,135,1,1.0,0.9583,0.9787
44,arrow,18,16,14,127,2,0.5333,0.8889,0.6667
