image_path,families,label_x_mark,label_play_triangle,label_google_play,label_next,label_free,label_got,label_arrow,review_status,group_key,source_screen,instance_id,content_id,original_path,relative_path,vision_domain,asset_type,asset_role,image_scope,representation,source_root,split,label_source,weak_label_rule,event_id,proposal_source,template_name,bbox_crop,event_dir
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00001_google_play_asset_7dbc3094aa7539f0.png,google_play,0,0,1,0,0,0,0,reviewed,content:asset_7dbc3094aa7539f0,ads2/assets/1_templates/close_icons,file_245ef374f6c4268c,asset_7dbc3094aa7539f0,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00002_x_mark_asset_d94a12829e570c5c.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_d94a12829e570c5c,ads2/assets/1_templates/close_icons,file_c1b82b89ebab2308,asset_d94a12829e570c5c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00003_x_mark_asset_62c0598db37c8764.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_62c0598db37c8764,ads2/assets/1_templates/close_icons,file_0796700f3e89b234,asset_62c0598db37c8764,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00004_x_mark_asset_643bd48faa917df4.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_643bd48faa917df4,ads2/assets/1_templates/close_icons,file_ed7ecf2d8c86d633,asset_643bd48faa917df4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00005_arrow_asset_759712a0fa58d9bb.png,arrow,0,0,0,0,0,0,1,reviewed,content:asset_759712a0fa58d9bb,ads2/assets/1_templates/close_icons,file_e98356e6d5b0d025,asset_759712a0fa58d9bb,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00006_x_mark_asset_811965ed2f4bf3fe.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_811965ed2f4bf3fe,ads2/assets/1_templates/close_icons,file_ff68673e47bf2194,asset_811965ed2f4bf3fe,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00007_x_mark_asset_ef19a71539533c38.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_ef19a71539533c38,ads2/assets/1_templates/close_icons,file_0c54c714e6e4e54c,asset_ef19a71539533c38,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00008_play_triangle_asset_f05a7a52f60d291b.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_f05a7a52f60d291b,ads2/assets/1_templates/close_icons,file_38f39cb8171bbccd,asset_f05a7a52f60d291b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00009_google_play_asset_ee02f730b82612e5.png,google_play,0,0,1,0,0,0,0,reviewed,content:asset_ee02f730b82612e5,ads2/assets/1_templates/close_icons,file_01fce48c5f827243,asset_ee02f730b82612e5,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00010_x_mark_asset_ca994ca16a3dcd00.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_ca994ca16a3dcd00,ads2/assets/1_templates/close_icons,file_53f6b240d7847ed6,asset_ca994ca16a3dcd00,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00011_x_mark_asset_2a7b5573529608a3.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_2a7b5573529608a3,ads2/assets/1_templates/close_icons,file_a4f0c7925d120a09,asset_2a7b5573529608a3,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
