image_path,families,label_x_mark,label_play_triangle,label_google_play,label_next,label_free,label_got,label_arrow,split,group_key,instance_id,content_id,relative_path,is_confirmed_strong_hard_negative
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00001_google_play_asset_7dbc3094aa7539f0.png,google_play,0,0,1,0,0,0,0,train,content:asset_7dbc3094aa7539f0,file_245ef374f6c4268c,asset_7dbc3094aa7539f0,ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00002_x_mark_asset_d94a12829e570c5c.png,x_mark,1,0,0,0,0,0,0,test,content:asset_d94a12829e570c5c,file_c1b82b89ebab2308,asset_d94a12829e570c5c,ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00003_x_mark_asset_62c0598db37c8764.png,x_mark,1,0,0,0,0,0,0,train,content:asset_62c0598db37c8764,file_0796700f3e89b234,asset_62c0598db37c8764,ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00004_x_mark_asset_643bd48faa917df4.png,x_mark,1,0,0,0,0,0,0,val,content:asset_643bd48faa917df4,file_ed7ecf2d8c86d633,asset_643bd48faa917df4,ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00005_arrow_asset_759712a0fa58d9bb.png,arrow,0,0,0,0,0,0,1,train,content:asset_759712a0fa58d9bb,file_e98356e6d5b0d025,asset_759712a0fa58d9bb,ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00006_x_mark_asset_811965ed2f4bf3fe.png,x_mark,1,0,0,0,0,0,0,train,content:asset_811965ed2f4bf3fe,file_ff68673e47bf2194,asset_811965ed2f4bf3fe,ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00007_x_mark_asset_ef19a71539533c38.png,x_mark,1,0,0,0,0,0,0,train,content:asset_ef19a71539533c38,file_0c54c714e6e4e54c,asset_ef19a71539533c38,ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00008_play_triangle_asset_f05a7a52f60d291b.png,play_triangle,0,1,0,0,0,0,0,test,content:asset_f05a7a52f60d291b,file_38f39cb8171bbccd,asset_f05a7a52f60d291b,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00009_google_play_asset_ee02f730b82612e5.png,google_play,0,0,1,0,0,0,0,train,content:asset_ee02f730b82612e5,file_01fce48c5f827243,asset_ee02f730b82612e5,ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00010_x_mark_asset_ca994ca16a3dcd00.png,x_mark,1,0,0,0,0,0,0,test,content:asset_ca994ca16a3dcd00,file_53f6b240d7847ed6,asset_ca994ca16a3dcd00,ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00011_x_mark_asset_2a7b5573529608a3.png,x_mark,1,0,0,0,0,0,0,train,content:asset_2a7b5573529608a3,file_a4f0c7925d120a09,asset_2a7b5573529608a3,ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00012_next_asset_8829832efa233731.png,next,0,0,0,1,0,0,0,train,content:asset_8829832efa233731,file_8adc86c006864b12,asset_8829832efa233731,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00013_google_play_asset_bf08eee05826fbbb.png,google_play,0,0,1,0,0,0,0,train,content:asset_bf08eee05826fbbb,file_541955e3cd16d297,asset_bf08eee05826fbbb,ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00014_google_play_asset_d67b35832487e707.png,google_play,0,0,1,0,0,0,0,train,content:asset_d67b35832487e707,file_f897e9b9181629ee,asset_d67b35832487e707,ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00015_google_play_asset_0038b293d3fef86c.png,google_play,0,0,1,0,0,0,0,train,content:asset_0038b293d3fef86c,file_183d636c777c6ea5,asset_0038b293d3fef86c,ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00016_play_triangle_asset_c67d1ef1a4afa50d.png,play_triangle,0,1,0,0,0,0,0,train,content:asset_c67d1ef1a4afa50d,file_50c793b7bc956a13,asset_c67d1ef1a4afa50d,ads2\assets\1_templates\close_icons\close_1.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00017_play_triangle_asset_5b3fbaac886e6b1c.png,play_triangle,0,1,0,0,0,0,0,train,content:asset_5b3fbaac886e6b1c,file_13eecab8cd7c9374,asset_5b3fbaac886e6b1c,ads2\assets\1_templates\close_icons\close_10.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00018_arrow_asset_814457f65714bfe8.png,arrow,0,0,0,0,0,0,1,train,content:asset_814457f65714bfe8,file_910f6d13ad48178b,asset_814457f65714bfe8,ads2\assets\1_templates\close_icons\close_11.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00019_x_mark_asset_44aa502360ac075b.png,x_mark,1,0,0,0,0,0,0,train,content:asset_44aa502360ac075b,file_88b1cc8a3de93123,asset_44aa502360ac075b,ads2\assets\1_templates\close_icons\close_12.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00020_play_triangle_asset_781a510f3a857316.png,play_triangle,0,1,0,0,0,0,0,train,content:asset_781a510f3a857316,file_a5a5bd5ba2f1d724,asset_781a510f3a857316,ads2\assets\1_templates\close_icons\close_13.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00021_x_mark_asset_7513f11f0e141a8c.png,x_mark,1,0,0,0,0,0,0,val,content:asset_7513f11f0e141a8c,file_e01dd7c029653e86,asset_7513f11f0e141a8c,ads2\assets\1_templates\close_icons\close_14.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00022_arrow_asset_b7e64faadd9ca7c4.png,arrow,0,0,0,0,0,0,1,train,content:asset_b7e64faadd9ca7c4,file_4bf9c732ffcf4bd7,asset_b7e64faadd9ca7c4,ads2\assets\1_templates\close_icons\close_15.png,0
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset\images\vf_00023_play_triangle_asset_5d7e57a62103e2c1.png,play_triangle,0,1,0,0,0,0,0,test,content:asset_5d7e57a62103e2c1,file_f1c7f92038128586,asset_5d7e57a62103e2c1,ads2\assets\1_templates\close_icons\close_16.png,0
