seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.05,34,34,159,76,0,0.1762,1.0,0.2996,137,80,0.5839
seed42,x_mark,0.1,34,34,116,119,0,0.2267,1.0,0.3696,137,57,0.4161
seed42,x_mark,0.15,34,34,102,133,0,0.25,1.0,0.4,137,49,0.3577
seed42,x_mark,0.2,34,34,95,140,0,0.2636,1.0,0.4172,137,45,0.3285
seed42,x_mark,0.25,34,34,60,175,0,0.3617,1.0,0.5312,137,40,0.292
seed42,x_mark,0.3,34,34,36,199,0,0.4857,1.0,0.6538,137,23,0.1679
seed42,x_mark,0.35,34,34,29,206,0,0.5397,1.0,0.701,137,19,0.1387
seed42,x_mark,0.4,34,34,26,209,0,0.5667,1.0,0.7234,137,16,0.1168
seed42,x_mark,0.45,34,34,20,215,0,0.6296,1.0,0.7727,137,14,0.1022
seed42,x_mark,0.5,34,34,10,225,0,0.7727,1.0,0.8718,137,5,0.0365
seed42,x_mark,0.55,34,34,8,227,0,0.8095,1.0,0.8947,137,3,0.0219
seed42,x_mark,0.6,34,34,8,227,0,0.8095,1.0,0.8947,137,3,0.0219
seed42,x_mark,0.65,34,34,6,229,0,0.85,1.0,0.9189,137,1,0.0073
seed42,x_mark,0.7,34,33,5,230,1,0.8684,0.9706,0.9167,137,0,0.0
seed42,x_mark,0.75,34,24,5,230,10,0.8276,0.7059,0.7619,137,0,0.0
seed42,x_mark,0.8,34,24,1,234,10,0.96,0.7059,0.8136,137,0,0.0
seed42,x_mark,0.85,34,23,1,234,11,0.9583,0.6765,0.7931,137,0,0.0
seed42,x_mark,0.9,34,22,0,235,12,1.0,0.6471,0.7857,137,0,0.0
seed42,x_mark,0.95,34,17,0,235,17,1.0,0.5,0.6667,137,0,0.0
seed42,play_triangle,0.05,48,48,141,80,0,0.254,1.0,0.4051,137,97,0.708
seed42,play_triangle,0.1,48,48,120,101,0,0.2857,1.0,0.4444,137,83,0.6058
seed42,play_triangle,0.15,48,47,99,122,1,0.3219,0.9792,0.4845,137,69,0.5036
seed42,play_triangle,0.2,48,45,58,163,3,0.4369,0.9375,0.596,137,37,0.2701
seed42,play_triangle,0.25,48,45,50,171,3,0.4737,0.9375,0.6294,137,32,0.2336
seed42,play_triangle,0.3,48,45,32,189,3,0.5844,0.9375,0.72,137,22,0.1606
seed42,play_triangle,0.35,48,42,28,193,6,0.6,0.875,0.7119,137,20,0.146
seed42,play_triangle,0.4,48,41,15,206,7,0.7321,0.8542,0.7885,137,7,0.0511
seed42,play_triangle,0.45,48,41,13,208,7,0.7593,0.8542,0.8039,137,5,0.0365
seed42,play_triangle,0.5,48,41,6,215,7,0.8723,0.8542,0.8632,137,1,0.0073
seed42,play_triangle,0.55,48,41,6,215,7,0.8723,0.8542,0.8632,137,1,0.0073
seed42,play_triangle,0.6,48,41,6,215,7,0.8723,0.8542,0.8632,137,1,0.0073
seed42,play_triangle,0.65,48,41,6,215,7,0.8723,0.8542,0.8632,137,1,0.0073
seed42,play_triangle,0.7,48,41,5,216,7,0.8913,0.8542,0.8723,137,0,0.0
seed42,play_triangle,0.75,48,40,3,218,8,0.9302,0.8333,0.8791,137,0,0.0
seed42,play_triangle,0.8,48,36,0,221,12,1.0,0.75,0.8571,137,0,0.0
seed42,play_triangle,0.85,48,36,0,221,12,1.0,0.75,0.8571,137,0,0.0
seed42,play_triangle,0.9,48,35,0,221,13,1.0,0.7292,0.8434,137,0,0.0
seed42,play_triangle,0.95,48,7,0,221,41,1.0,0.1458,0.2545,137,0,0.0
seed42,google_play,0.05,1,1,107,161,0,0.0093,1.0,0.0183,137,51,0.3723
seed42,google_play,0.1,1,1,62,206,0,0.0159,1.0,0.0312,137,42,0.3066
seed42,google_play,0.15,1,1,38,230,0,0.0256,1.0,0.05,137,21,0.1533
seed42,google_play,0.2,1,1,22,246,0,0.0435,1.0,0.0833,137,8,0.0584
seed42,google_play,0.25,1,1,16,252,0,0.0588,1.0,0.1111,137,5,0.0365
seed42,google_play,0.3,1,1,8,260,0,0.1111,1.0,0.2,137,1,0.0073
seed42,google_play,0.35,1,1,3,265,0,0.25,1.0,0.4,137,1,0.0073
seed42,google_play,0.4,1,1,2,266,0,0.3333,1.0,0.5,137,1,0.0073
seed42,google_play,0.45,1,1,1,267,0,0.5,1.0,0.6667,137,0,0.0
seed42,google_play,0.5,1,1,1,267,0,0.5,1.0,0.6667,137,0,0.0
seed42,google_play,0.55,1,1,1,267,0,0.5,1.0,0.6667,137,0,0.0
seed42,google_play,0.6,1,1,1,267,0,0.5,1.0,0.6667,137,0,0.0
seed42,google_play,0.65,1,1,0,268,0,1.0,1.0,1.0,137,0,0.0
seed42,google_play,0.7,1,1,0,268,0,1.0,1.0,1.0,137,0,0.0
seed42,google_play,0.75,1,1,0,268,0,1.0,1.0,1.0,137,0,0.0
seed42,google_play,0.8,1,1,0,268,0,1.0,1.0,1.0,137,0,0.0
seed42,google_play,0.85,1,1,0,268,0,1.0,1.0,1.0,137,0,0.0
seed42,google_play,0.9,1,1,0,268,0,1.0,1.0,1.0,137,0,0.0
seed42,google_play,0.95,1,0,0,268,1,0.0,0.0,0.0,137,0,0.0
seed42,next,0.05,2,2,167,100,0,0.0118,1.0,0.0234,137,83,0.6058
seed42,next,0.1,2,2,130,137,0,0.0152,1.0,0.0299,137,63,0.4599
seed42,next,0.15,2,2,84,183,0,0.0233,1.0,0.0455,137,32,0.2336
seed42,next,0.2,2,2,76,191,0,0.0256,1.0,0.05,137,27,0.1971
seed42,next,0.25,2,2,64,203,0,0.0303,1.0,0.0588,137,19,0.1387
seed42,next,0.3,2,2,61,206,0,0.0317,1.0,0.0615,137,16,0.1168
seed42,next,0.35,2,2,44,223,0,0.0435,1.0,0.0833,137,2,0.0146
seed42,next,0.4,2,2,41,226,0,0.0465,1.0,0.0889,137,2,0.0146
seed42,next,0.45,2,2,39,228,0,0.0488,1.0,0.093,137,1,0.0073
seed42,next,0.5,2,2,38,229,0,0.05,1.0,0.0952,137,1,0.0073
seed42,next,0.55,2,2,8,259,0,0.2,1.0,0.3333,137,0,0.0
seed42,next,0.6,2,1,5,262,1,0.1667,0.5,0.25,137,0,0.0
seed42,next,0.65,2,0,4,263,2,0.0,0.0,0.0,137,0,0.0
seed42,next,0.7,2,0,3,264,2,0.0,0.0,0.0,137,0,0.0
seed42,next,0.75,2,0,2,265,2,0.0,0.0,0.0,137,0,0.0
seed42,next,0.8,2,0,2,265,2,0.0,0.0,0.0,137,0,0.0
seed42,next,0.85,2,0,2,265,2,0.0,0.0,0.0,137,0,0.0
seed42,next,0.9,2,0,0,267,2,0.0,0.0,0.0,137,0,0.0
seed42,next,0.95,2,0,0,267,2,0.0,0.0,0.0,137,0,0.0
seed42,free,0.05,5,5,72,192,0,0.0649,1.0,0.122,137,34,0.2482
seed42,free,0.1,5,5,33,231,0,0.1316,1.0,0.2326,137,30,0.219
seed42,free,0.15,5,4,16,248,1,0.2,0.8,0.32,137,14,0.1022
seed42,free,0.2,5,4,2,262,1,0.6667,0.8,0.7273,137,0,0.0
seed42,free,0.25,5,4,1,263,1,0.8,0.8,0.8,137,0,0.0
seed42,free,0.3,5,4,0,264,1,1.0,0.8,0.8889,137,0,0.0
seed42,free,0.35,5,1,0,264,4,1.0,0.2,0.3333,137,0,0.0
seed42,free,0.4,5,1,0,264,4,1.0,0.2,0.3333,137,0,0.0
seed42,free,0.45,5,0,0,264,5,0.0,0.0,0.0,137,0,0.0
seed42,free,0.5,5,0,0,264,5,0.0,0.0,0.0,137,0,0.0
seed42,free,0.55,5,0,0,264,5,0.0,0.0,0.0,137,0,0.0
seed42,free,0.6,5,0,0,264,5,0.0,0.0,0.0,137,0,0.0
seed42,free,0.65,5,0,0,264,5,0.0,0.0,0.0,137,0,0.0
seed42,free,0.7,5,0,0,264,5,0.0,0.0,0.0,137,0,0.0
seed42,free,0.75,5,0,0,264,5,0.0,0.0,0.0,137,0,0.0
seed42,free,0.8,5,0,0,264,5,0.0,0.0,0.0,137,0,0.0
seed42,free,0.85,5,0,0,264,5,0.0,0.0,0.0,137,0,0.0
seed42,free,0.9,5,0,0,264,5,0.0,0.0,0.0,137,0,0.0
seed42,free,0.95,5,0,0,264,5,0.0,0.0,0.0,137,0,0.0
seed42,got,0.05,32,32,42,195,0,0.4324,1.0,0.6038,137,30,0.219
seed42,got,0.1,32,32,19,218,0,0.6275,1.0,0.7711,137,15,0.1095
seed42,got,0.15,32,32,12,225,0,0.7273,1.0,0.8421,137,10,0.073
seed42,got,0.2,32,32,12,225,0,0.7273,1.0,0.8421,137,10,0.073
seed42,got,0.25,32,32,11,226,0,0.7442,1.0,0.8533,137,9,0.0657
seed42,got,0.3,32,32,11,226,0,0.7442,1.0,0.8533,137,9,0.0657
seed42,got,0.35,32,32,2,235,0,0.9412,1.0,0.9697,137,0,0.0
seed42,got,0.4,32,32,0,237,0,1.0,1.0,1.0,137,0,0.0
seed42,got,0.45,32,32,0,237,0,1.0,1.0,1.0,137,0,0.0
seed42,got,0.5,32,32,0,237,0,1.0,1.0,1.0,137,0,0.0
seed42,got,0.55,32,32,0,237,0,1.0,1.0,1.0,137,0,0.0
seed42,got,0.6,32,32,0,237,0,1.0,1.0,1.0,137,0,0.0
seed42,got,0.65,32,32,0,237,0,1.0,1.0,1.0,137,0,0.0
seed42,got,0.7,32,32,0,237,0,1.0,1.0,1.0,137,0,0.0
seed42,got,0.75,32,31,0,237,1,1.0,0.9688,0.9841,137,0,0.0
seed42,got,0.8,32,31,0,237,1,1.0,0.9688,0.9841,137,0,0.0
seed42,got,0.85,32,31,0,237,1,1.0,0.9688,0.9841,137,0,0.0
seed42,got,0.9,32,31,0,237,1,1.0,0.9688,0.9841,137,0,0.0
seed42,got,0.95,32,31,0,237,1,1.0,0.9688,0.9841,137,0,0.0
seed42,arrow,0.05,10,10,104,155,0,0.0877,1.0,0.1613,137,49,0.3577
seed42,arrow,0.1,10,10,45,214,0,0.1818,1.0,0.3077,137,29,0.2117
seed42,arrow,0.15,10,10,32,227,0,0.2381,1.0,0.3846,137,19,0.1387
seed42,arrow,0.2,10,10,17,242,0,0.3704,1.0,0.5405,137,14,0.1022
seed42,arrow,0.25,10,10,15,244,0,0.4,1.0,0.5714,137,12,0.0876
seed42,arrow,0.3,10,10,15,244,0,0.4,1.0,0.5714,137,12,0.0876
seed42,arrow,0.35,10,10,15,244,0,0.4,1.0,0.5714,137,12,0.0876
seed42,arrow,0.4,10,10,5,254,0,0.6667,1.0,0.8,137,3,0.0219
seed42,arrow,0.45,10,10,5,254,0,0.6667,1.0,0.8,137,3,0.0219
seed42,arrow,0.5,10,10,3,256,0,0.7692,1.0,0.8696,137,1,0.0073
seed42,arrow,0.55,10,10,3,256,0,0.7692,1.0,0.8696,137,1,0.0073
seed42,arrow,0.6,10,10,3,256,0,0.7692,1.0,0.8696,137,1,0.0073
seed42,arrow,0.65,10,10,2,257,0,0.8333,1.0,0.9091,137,1,0.0073
seed42,arrow,0.7,10,10,1,258,0,0.9091,1.0,0.9524,137,0,0.0
seed42,arrow,0.75,10,10,0,259,0,1.0,1.0,1.0,137,0,0.0
seed42,arrow,0.8,10,10,0,259,0,1.0,1.0,1.0,137,0,0.0
seed42,arrow,0.85,10,10,0,259,0,1.0,1.0,1.0,137,0,0.0
seed42,arrow,0.9,10,9,0,259,1,1.0,0.9,0.9474,137,0,0.0
seed42,arrow,0.95,10,5,0,259,5,1.0,0.5,0.6667,137,0,0.0
seed43,x_mark,0.05,34,34,155,80,0,0.1799,1.0,0.3049,137,72,0.5255
