family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
x_mark,0.05,34.0,34.0,143.6667,91.3333,0.0,0.1937,1.0,0.324,137.0,73.3333,0.5353
x_mark,0.1,34.0,34.0,106.6667,128.3333,0.0,0.2463,1.0,0.394,137.0,49.6667,0.3625
x_mark,0.15,34.0,34.0,90.0,145.0,0.0,0.2795,1.0,0.4354,137.0,41.3333,0.3017
x_mark,0.2,34.0,34.0,70.3333,164.6667,0.0,0.3347,1.0,0.4992,137.0,34.0,0.2482
x_mark,0.25,34.0,34.0,52.6667,182.3333,0.0,0.3943,1.0,0.565,137.0,28.0,0.2044
x_mark,0.3,34.0,34.0,42.0,193.0,0.0,0.4492,1.0,0.6194,137.0,20.3333,0.1484
x_mark,0.35,34.0,34.0,33.6667,201.3333,0.0,0.5119,1.0,0.6745,137.0,17.3333,0.1265
x_mark,0.4,34.0,32.0,21.0,214.0,2.0,0.6062,0.9412,0.735,137.0,14.0,0.1022
x_mark,0.45,34.0,32.0,18.0,217.0,2.0,0.6395,0.9412,0.7605,137.0,12.3333,0.09
x_mark,0.5,34.0,32.0,10.0,225.0,2.0,0.7631,0.9412,0.8425,137.0,5.0,0.0365
x_mark,0.55,34.0,32.0,9.0,226.0,2.0,0.7827,0.9412,0.8544,137.0,4.0,0.0292
x_mark,0.6,34.0,32.0,6.0,229.0,2.0,0.8433,0.9412,0.8874,137.0,1.0,0.0073
x_mark,0.65,34.0,32.0,5.3333,229.6667,2.0,0.8568,0.9412,0.8954,137.0,0.3333,0.0024
x_mark,0.7,34.0,31.3333,3.6667,231.3333,2.6667,0.9008,0.9216,0.9074,137.0,0.0,0.0
x_mark,0.75,34.0,28.3333,3.6667,231.3333,5.6667,0.8872,0.8333,0.8558,137.0,0.0,0.0
x_mark,0.8,34.0,28.3333,1.0,234.0,5.6667,0.9654,0.8333,0.891,137.0,0.0,0.0
x_mark,0.85,34.0,25.6667,1.0,234.0,8.3333,0.9623,0.7549,0.8448,137.0,0.0,0.0
x_mark,0.9,34.0,24.3333,0.0,235.0,9.6667,1.0,0.7157,0.832,137.0,0.0,0.0
x_mark,0.95,34.0,19.6667,0.0,235.0,14.3333,1.0,0.5784,0.731,137.0,0.0,0.0
play_triangle,0.05,48.0,48.0,124.0,97.0,0.0,0.2865,1.0,0.4432,137.0,86.3333,0.6302
play_triangle,0.1,48.0,47.6667,103.3333,117.6667,0.3333,0.3228,0.9931,0.4849,137.0,73.6667,0.5377
play_triangle,0.15,48.0,47.3333,80.6667,140.3333,0.6667,0.3815,0.9861,0.5463,137.0,58.3333,0.4258
play_triangle,0.2,48.0,46.3333,54.0,167.0,1.6667,0.4755,0.9653,0.6325,137.0,37.3333,0.2725
play_triangle,0.25,48.0,46.3333,39.6667,181.3333,1.6667,0.5518,0.9653,0.6979,137.0,26.0,0.1898
play_triangle,0.3,48.0,46.0,29.0,192.0,2.0,0.6182,0.9583,0.75,137.0,18.6667,0.1363
play_triangle,0.35,48.0,44.6667,26.3333,194.6667,3.3333,0.6354,0.9306,0.7529,137.0,17.0,0.1241
play_triangle,0.4,48.0,43.6667,16.0,205.0,4.3333,0.7328,0.9097,0.8109,137.0,7.0,0.0511
play_triangle,0.45,48.0,43.3333,13.6667,207.3333,4.6667,0.7617,0.9028,0.8255,137.0,6.0,0.0438
play_triangle,0.5,48.0,43.0,10.0,211.0,5.0,0.8148,0.8958,0.8519,137.0,3.3333,0.0243
play_triangle,0.55,48.0,43.0,8.0,213.0,5.0,0.846,0.8958,0.8691,137.0,2.0,0.0146
play_triangle,0.6,48.0,43.0,7.3333,213.6667,5.0,0.8557,0.8958,0.8746,137.0,1.6667,0.0122
play_triangle,0.65,48.0,43.0,4.3333,216.6667,5.0,0.9084,0.8958,0.902,137.0,0.3333,0.0024
play_triangle,0.7,48.0,43.0,3.6667,217.3333,5.0,0.9215,0.8958,0.9084,137.0,0.0,0.0
play_triangle,0.75,48.0,40.6667,2.3333,218.6667,7.3333,0.9461,0.8472,0.8938,137.0,0.0,0.0
play_triangle,0.8,48.0,39.3333,1.3333,219.6667,8.6667,0.9693,0.8194,0.8865,137.0,0.0,0.0
play_triangle,0.85,48.0,39.0,1.0,220.0,9.0,0.9762,0.8125,0.8857,137.0,0.0,0.0
play_triangle,0.9,48.0,36.3333,0.6667,220.3333,11.6667,0.9824,0.7569,0.8544,137.0,0.0,0.0
play_triangle,0.95,48.0,8.3333,0.0,221.0,39.6667,1.0,0.1736,0.294,137.0,0.0,0.0
google_play,0.05,1.0,1.0,98.3333,169.6667,0.0,0.0102,1.0,0.0202,137.0,46.6667,0.3406
google_play,0.1,1.0,1.0,58.0,210.0,0.0,0.017,1.0,0.0334,137.0,32.6667,0.2384
google_play,0.15,1.0,1.0,38.3333,229.6667,0.0,0.0259,1.0,0.0505,137.0,16.6667,0.1217
google_play,0.2,1.0,1.0,27.0,241.0,0.0,0.04,1.0,0.0766,137.0,9.6667,0.0706
google_play,0.25,1.0,1.0,20.0,248.0,0.0,0.0758,1.0,0.137,137.0,4.3333,0.0316
google_play,0.3,1.0,1.0,7.3333,260.6667,0.0,0.1217,1.0,0.2167,137.0,3.0,0.0219
google_play,0.35,1.0,1.0,5.0,263.0,0.0,0.187,1.0,0.3111,137.0,2.3333,0.017
google_play,0.4,1.0,1.0,3.0,265.0,0.0,0.2778,1.0,0.4286,137.0,1.6667,0.0122
google_play,0.45,1.0,1.0,1.6667,266.3333,0.0,0.5667,1.0,0.6667,137.0,1.0,0.0073
google_play,0.5,1.0,1.0,1.3333,266.6667,0.0,0.5833,1.0,0.6889,137.0,0.6667,0.0049
google_play,0.55,1.0,1.0,0.6667,267.3333,0.0,0.6667,1.0,0.7778,137.0,0.3333,0.0024
google_play,0.6,1.0,1.0,0.6667,267.3333,0.0,0.6667,1.0,0.7778,137.0,0.3333,0.0024
google_play,0.65,1.0,1.0,0.0,268.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
google_play,0.7,1.0,1.0,0.0,268.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
google_play,0.75,1.0,1.0,0.0,268.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
google_play,0.8,1.0,1.0,0.0,268.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
google_play,0.85,1.0,1.0,0.0,268.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
google_play,0.9,1.0,1.0,0.0,268.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
google_play,0.95,1.0,0.6667,0.0,268.0,0.3333,0.6667,0.6667,0.6667,137.0,0.0,0.0
next,0.05,2.0,2.0,159.6667,107.3333,0.0,0.0124,1.0,0.0245,137.0,83.6667,0.6107
