bbox_id,instance_id,content_id,original_path,relative_path,x,y,w,h,vision_domain,asset_type,representation,screen_state,candidate_label,sample_role,sub_role,class_name,class_purpose,label,note,created_at,updated_at
459,file_000c5c9bc35e5571,asset_af4ac045fe361ae2,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_104444_893\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_104444_893\pre_click.png,278.3255813953488,336.3720930232558,96.74418604651163,26.790697674418652,shared,clean_fullscreen,raw,actionable,uncertain,uncertain,play,action_target,detector,positive,,2026-07-18T08:36:50.243584+00:00,2026-07-18T08:36:50.243584+00:00
192,file_00512e8371693dcd,asset_6c4e9a403f6ca6a4,D:\Projects\adb_vl\ads2\assets\3_reference_screens\ad_issue_20260606_044156.png,ads2\assets\3_reference_screens\ad_issue_20260606_044156.png,24.120603015075403,63.91959798994978,31.356783919598,24.120603015075375,ads,clean_fullscreen,raw,actionable,uncertain,uncertain,,action_target,detector,positive,,2026-07-12T09:06:14.911266+00:00,2026-07-12T09:06:22.390909+00:00
92,file_00664230c15bf43f,asset_4a60143af235e4d4,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260611_111718_edit.png,ads2\assets\2_communication\manual_rescue_20260611_111718_edit.png,557.1859296482412,354.572864321608,33.768844221105496,22.9145728643216,ads,clean_fullscreen,raw,actionable,uncertain,uncertain,play,action_target,detector,positive,,2026-07-12T07:40:32.410667+00:00,2026-07-12T07:40:32.424382+00:00
688,file_0080ffbc5934e139,asset_5cccfd42a670cdcb,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080545_818\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080545_818\pre_click.png,418.2325581395349,139.90697674418604,120.55813953488376,35.720930232558146,shared,clean_fullscreen,raw,actionable,uncertain,uncertain,got,action_target,detector,positive,,2026-07-21T10:04:42.361975+00:00,2026-07-21T10:04:42.361975+00:00
591,file_00a3f38cbba0c899,asset_c8294af90676c7fb,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_104013_193\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_104013_193\pre_click.png,361.6744186046512,279.8139534883721,56.55813953488371,31.25581395348837,shared,clean_fullscreen,raw,actionable,uncertain,uncertain,play,action_target,detector,positive,,2026-07-18T08:49:15.132529+00:00,2026-07-18T08:49:15.132529+00:00
628,file_011a7184fd13a902,asset_1d1e20286d818868,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_182800_396\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_182800_396\pre_click.png,418.2325581395349,139.90697674418604,120.55813953488376,35.720930232558146,shared,clean_fullscreen,raw,actionable,uncertain,uncertain,got,action_target,detector,positive,,2026-07-21T10:04:22.377779+00:00,2026-07-21T10:04:22.377779+00:00
640,file_0151551db9ed20a7,asset_d4ba9ad784756927,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260720_131117_976\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260720_131117_976\pre_click.png,418.2325581395349,139.90697674418604,120.55813953488376,35.720930232558146,shared,clean_fullscreen,raw,actionable,uncertain,uncertain,got,action_target,detector,positive,,2026-07-21T10:04:26.484830+00:00,2026-07-21T10:04:26.484830+00:00
84,file_02c2144cc30cfbe9,asset_fbfb7241e62d249b,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260610_153906_edit.png,ads2\assets\2_communication\manual_rescue_20260610_153906_edit.png,406.43216080402,401.60804020100494,49.44723618090461,26.532663316582898,ads,clean_fullscreen,raw,actionable,uncertain,uncertain,play,action_target,detector,positive,,2026-07-12T07:39:08.045747+00:00,2026-07-12T07:39:26.552520+00:00
723,file_02c24367bef4dd4b,asset_b6f4fa93ac53f7bc,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080308_161\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080308_161\pre_click.png,418.2325581395349,139.90697674418604,120.55813953488376,35.720930232558146,shared,clean_fullscreen,raw,actionable,uncertain,uncertain,got,action_target,detector,positive,,2026-07-21T10:04:53.233050+00:00,2026-07-21T10:04:53.233050+00:00
393,file_036daca5cd5d1f0f,asset_f7d2bc8e25e6c590,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260718_110439_535\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260718_110439_535\pre_click.png,418.2325581395349,139.90697674418604,120.55813953488376,35.720930232558146,shared,clean_fullscreen,raw,actionable,uncertain,uncertain,got,action_target,detector,positive,,2026-07-18T08:32:03.874431+00:00,2026-07-18T08:32:03.874431+00:00
220,file_039739cdd6323385,asset_d2e4d9e90ef48dc6,D:\Projects\adb_vl\ads2\assets\3_reference_screens\ad_issue_20260606_084107.png,ads2\assets\3_reference_screens\ad_issue_20260606_084107.png,25.229960578186596,23.968462549277266,131.1957950065703,23.968462549277266,ads,uncertain,raw,actionable,uncertain,uncertain,play,action_target,detector,positive,,2026-07-12T09:22:26.796795+00:00,2026-07-12T09:22:26.821865+00:00
178,file_04613673a2a00b41,asset_8ca75c26bac1b84b,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260711_140632_edit.png,ads2\assets\2_communication\manual_rescue_20260711_140632_edit.png,377.4874371859296,290.65326633165824,34.9748743718593,13.266331658291449,shared,clean_fullscreen,raw,actionable,uncertain,uncertain,free,action_target,detector,positive,,2026-07-12T09:04:30.486547+00:00,2026-07-12T09:04:30.486547+00:00
701,file_0490cec210cc3f1a,asset_8bd6b6a069a9db78,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_102018_720\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_102018_720\pre_click.png,418.2325581395349,139.90697674418604,120.55813953488376,35.720930232558146,shared,clean_fullscreen,raw,actionable,uncertain,uncertain,got,action_target,detector,positive,,2026-07-21T10:04:47.156892+00:00,2026-07-21T10:04:47.156892+00:00
