instance_id,content_id,original_path,relative_path,vision_domain,asset_type,representation,label,screen_state,candidate_label,class_name,class_purpose,review_status,has_no_target,note,created_at,updated_at
file_b040dd17ca19329c,asset_1bb199c29d32b6fe,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\google_play_pill_edge.png,ads2\assets\1_templates\close_glyphs\google_play_pill_edge.png,ads,template,edge_glyph,positive,uncertain,uncertain,,,pending,0,,2026-07-12T04:45:09.544033+00:00,2026-07-12T05:18:42.162991+00:00
file_670c62c5320205f4,asset_d37ef6afc1bb29cb,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\skip_next_edge.png,ads2\assets\1_templates\close_glyphs\skip_next_edge.png,ads,template,edge_glyph,positive,uncertain,uncertain,,,pending,0,,2026-07-12T04:54:22.083485+00:00,2026-07-12T04:54:22.083485+00:00
file_bb614e957ab55bfb,asset_d6d7c33a252f2dc5,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\skip_next_text_edge.png,ads2\assets\1_templates\close_glyphs\skip_next_text_edge.png,ads,template,edge_glyph,positive,uncertain,uncertain,,,pending,0,,2026-07-12T04:54:23.682990+00:00,2026-07-12T04:54:23.682990+00:00
file_245ef374f6c4268c,asset_7dbc3094aa7539f0,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads,template,raw,positive,uncertain,uncertain,,,pending,0,,2026-07-12T04:54:34.836348+00:00,2026-07-12T04:54:34.836348+00:00
file_c1b82b89ebab2308,asset_d94a12829e570c5c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads,template,raw,positive,uncertain,uncertain,,,pending,0,,2026-07-12T04:54:45.491987+00:00,2026-07-12T04:54:45.491987+00:00
file_0796700f3e89b234,asset_62c0598db37c8764,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads,template,raw,positive,uncertain,uncertain,,,pending,0,,2026-07-12T04:54:54.186976+00:00,2026-07-12T04:54:54.186976+00:00
file_ed7ecf2d8c86d633,asset_643bd48faa917df4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads,template,raw,positive,uncertain,uncertain,,,pending,0,,2026-07-12T04:54:55.651069+00:00,2026-07-12T04:54:55.651069+00:00
file_e98356e6d5b0d025,asset_759712a0fa58d9bb,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads,template,raw,positive,uncertain,uncertain,,,pending,0,,2026-07-12T04:55:08.346555+00:00,2026-07-12T04:55:08.346555+00:00
file_ff68673e47bf2194,asset_811965ed2f4bf3fe,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads,template,raw,positive,uncertain,uncertain,,,pending,0,,2026-07-12T04:55:09.619237+00:00,2026-07-12T04:55:09.619237+00:00
file_0c54c714e6e4e54c,asset_ef19a71539533c38,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads,template,raw,positive,uncertain,uncertain,,,pending,0,,2026-07-12T04:55:10.251306+00:00,2026-07-12T04:55:10.251306+00:00
file_38f39cb8171bbccd,asset_f05a7a52f60d291b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads,template,raw,positive,uncertain,uncertain,,,pending,0,,2026-07-12T04:55:11.171027+00:00,2026-07-12T04:55:11.171027+00:00
