instance_id,content_id,original_path,relative_path,vision_domain,asset_role,image_scope,asset_type,representation,families,review_status,note,created_at,updated_at
file_b040dd17ca19329c,asset_1bb199c29d32b6fe,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\google_play_pill_edge.png,ads2\assets\1_templates\close_glyphs\google_play_pill_edge.png,ads,template,crop,template,edge_glyph,google_play,reviewed,,2026-07-14T14:40:21.009079+00:00,2026-07-14T14:40:38.794632+00:00
file_670c62c5320205f4,asset_d37ef6afc1bb29cb,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\skip_next_edge.png,ads2\assets\1_templates\close_glyphs\skip_next_edge.png,ads,template,crop,template,edge_glyph,arrow,reviewed,,2026-07-14T14:41:18.168522+00:00,2026-07-14T14:41:26.430538+00:00
file_bb614e957ab55bfb,asset_d6d7c33a252f2dc5,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\skip_next_text_edge.png,ads2\assets\1_templates\close_glyphs\skip_next_text_edge.png,ads,template,crop,template,edge_glyph,uncertain,reviewed,,2026-07-14T14:42:19.773463+00:00,2026-07-14T14:42:42.874938+00:00
file_245ef374f6c4268c,asset_7dbc3094aa7539f0,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads,template,crop,template,raw,google_play,reviewed,,2026-07-14T14:40:49.755551+00:00,2026-07-14T14:40:54.173380+00:00
file_c1b82b89ebab2308,asset_d94a12829e570c5c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads,template,crop,template,raw,x_mark,reviewed,,2026-07-14T14:44:55.688452+00:00,2026-07-14T14:44:59.208693+00:00
file_0796700f3e89b234,asset_62c0598db37c8764,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads,template,crop,template,raw,x_mark,reviewed,,2026-07-14T13:09:45.552879+00:00,2026-07-14T13:09:46.182621+00:00
file_ed7ecf2d8c86d633,asset_643bd48faa917df4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads,template,crop,template,raw,x_mark,reviewed,,2026-07-14T14:44:49.539259+00:00,2026-07-14T14:44:50.014072+00:00
file_e98356e6d5b0d025,asset_759712a0fa58d9bb,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:44:51.019848+00:00,2026-07-14T14:44:55.109651+00:00
file_ff68673e47bf2194,asset_811965ed2f4bf3fe,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads,template,crop,template,raw,x_mark,reviewed,,2026-07-14T14:44:50.039989+00:00,2026-07-14T14:44:50.483466+00:00
file_0c54c714e6e4e54c,asset_ef19a71539533c38,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads,template,crop,template,raw,x_mark,reviewed,,2026-07-14T13:09:46.220546+00:00,2026-07-14T13:09:47.117827+00:00
file_38f39cb8171bbccd,asset_f05a7a52f60d291b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:43:02.709525+00:00,2026-07-14T14:43:04.265438+00:00
file_01fce48c5f827243,asset_ee02f730b82612e5,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,ads,template,crop,template,raw,google_play,reviewed,,2026-07-14T14:43:04.292808+00:00,2026-07-14T14:43:12.189615+00:00
file_53f6b240d7847ed6,asset_ca994ca16a3dcd00,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads,template,crop,template,raw,x_mark,reviewed,,2026-07-14T14:43:19.259735+00:00,2026-07-14T14:43:19.788904+00:00
file_a4f0c7925d120a09,asset_2a7b5573529608a3,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads,template,crop,template,raw,x_mark,reviewed,,2026-07-14T14:41:37.181275+00:00,2026-07-14T14:41:38.703181+00:00
file_8adc86c006864b12,asset_8829832efa233731,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,ads,template,crop,template,raw,next,reviewed,,2026-07-14T14:40:38.831233+00:00,2026-07-14T14:40:45.652168+00:00
file_541955e3cd16d297,asset_bf08eee05826fbbb,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,ads,template,crop,template,raw,google_play,reviewed,,2026-07-14T14:44:11.555849+00:00,2026-07-14T14:44:14.874648+00:00
file_f897e9b9181629ee,asset_d67b35832487e707,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,ads,template,crop,template,raw,google_play,reviewed,,2026-07-14T13:10:09.030703+00:00,2026-07-14T13:10:09.828245+00:00
file_183d636c777c6ea5,asset_0038b293d3fef86c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads,template,crop,template,raw,google_play,reviewed,,2026-07-14T14:40:19.354944+00:00,2026-07-14T14:40:20.974916+00:00
file_50c793b7bc956a13,asset_c67d1ef1a4afa50d,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_1.png,ads2\assets\1_templates\close_icons\close_1.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:44:15.589932+00:00,2026-07-14T14:44:19.454603+00:00
file_13eecab8cd7c9374,asset_5b3fbaac886e6b1c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_10.png,ads2\assets\1_templates\close_icons\close_10.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:44:25.584551+00:00,2026-07-14T14:44:29.358104+00:00
file_910f6d13ad48178b,asset_814457f65714bfe8,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_11.png,ads2\assets\1_templates\close_icons\close_11.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:41:38.723168+00:00,2026-07-14T14:41:47.116241+00:00
file_88b1cc8a3de93123,asset_44aa502360ac075b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_12.png,ads2\assets\1_templates\close_icons\close_12.png,ads,template,crop,template,raw,x_mark,reviewed,,2026-07-14T14:43:56.693372+00:00,2026-07-14T14:44:02.295463+00:00
file_a5a5bd5ba2f1d724,asset_781a510f3a857316,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_13.png,ads2\assets\1_templates\close_icons\close_13.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:44:30.561672+00:00,2026-07-14T14:44:31.086421+00:00
file_e01dd7c029653e86,asset_7513f11f0e141a8c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_14.png,ads2\assets\1_templates\close_icons\close_14.png,ads,template,crop,template,raw,x_mark,reviewed,,2026-07-14T14:40:57.997480+00:00,2026-07-14T14:41:02.995749+00:00
file_4bf9c732ffcf4bd7,asset_b7e64faadd9ca7c4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_15.png,ads2\assets\1_templates\close_icons\close_15.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T13:09:48.250629+00:00,2026-07-14T13:09:52.514809+00:00
file_f1c7f92038128586,asset_5d7e57a62103e2c1,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_16.png,ads2\assets\1_templates\close_icons\close_16.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:44:10.935345+00:00,2026-07-14T14:44:11.535683+00:00
file_c6293287feb9bff3,asset_9fdb4db2e3fe6848,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_17.png,ads2\assets\1_templates\close_icons\close_17.png,ads,template,crop,template,raw,x_mark,reviewed,,2026-07-14T14:44:48.916951+00:00,2026-07-14T14:44:49.517659+00:00
file_54f5287c84fc7e1d,asset_db80ab2f7ad7e606,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_18.png,ads2\assets\1_templates\close_icons\close_18.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:44:02.324081+00:00,2026-07-14T14:44:09.636553+00:00
file_a195dd7ba6135547,asset_e3aa0c73c537c671,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_19.png,ads2\assets\1_templates\close_icons\close_19.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:44:29.385057+00:00,2026-07-14T14:44:29.965727+00:00
file_e16e35dc922172f8,asset_565f2f8c61c441ed,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_2.png,ads2\assets\1_templates\close_icons\close_2.png,ads,template,crop,template,raw,x_mark,reviewed,故意裁歪  實際上是左邊的X,2026-07-14T13:09:34.660536+00:00,2026-07-14T13:09:36.410711+00:00
file_2200224e47c6acf2,asset_fe436527d7d5643c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_20.png,ads2\assets\1_templates\close_icons\close_20.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:44:29.986332+00:00,2026-07-14T14:44:30.539176+00:00
file_857e5225a2b06af8,asset_927b02d71a0d5e87,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_21.png,ads2\assets\1_templates\close_icons\close_21.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:44:36.889211+00:00,2026-07-14T14:44:41.973426+00:00
file_d109bb027585db3a,asset_384d89598f4f57fc,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_22.png,ads2\assets\1_templates\close_icons\close_22.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:43:12.211659+00:00,2026-07-14T14:43:15.534438+00:00
file_abf6a9593a794d4f,asset_0f7f87e6da29ae62,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_23.png,ads2\assets\1_templates\close_icons\close_23.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T13:09:36.450015+00:00,2026-07-14T13:09:41.881020+00:00
file_4a39bc8220b54bcf,asset_0adb2ecfead6543b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_24.png,ads2\assets\1_templates\close_icons\close_24.png,ads,template,crop,template,raw,x_mark,reviewed,,2026-07-14T13:09:31.207627+00:00,2026-07-14T13:09:34.636066+00:00
file_acc7870ed969732e,asset_d9b4a93cc253ae66,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_25.png,ads2\assets\1_templates\close_icons\close_25.png,ads,template,crop,template,raw,x_mark,reviewed,,2026-07-14T14:40:45.684690+00:00,2026-07-14T14:40:49.734189+00:00
file_2aafaa2342e7ff6d,asset_649d289a08c9fe33,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_3.png,ads2\assets\1_templates\close_icons\close_3.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:43:01.759572+00:00,2026-07-14T14:43:02.686587+00:00
file_d4c87444e5015593,asset_00f02ef77adb18c4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_4.png,ads2\assets\1_templates\close_icons\close_4.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:44:09.661630+00:00,2026-07-14T14:44:10.914328+00:00
file_cd80a32dc3ce69d3,asset_59b134576fd486a2,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_5.png,ads2\assets\1_templates\close_icons\close_5.png,ads,template,crop,template,raw,arrow,reviewed,,2026-07-14T14:41:26.451854+00:00,2026-07-14T14:41:27.950226+00:00
file_144f33590c886b45,asset_acdbf97adac6c560,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_6.png,ads2\assets\1_templates\close_icons\close_6.png,ads,template,crop,template,raw,next,reviewed,,2026-07-14T14:41:59.577655+00:00,2026-07-14T14:42:02.620938+00:00
file_53c205606c848750,asset_38da3057c3705cb4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_7.png,ads2\assets\1_templates\close_icons\close_7.png,ads,template,crop,template,raw,x_mark,reviewed,,2026-07-14T13:09:47.140909+00:00,2026-07-14T13:09:48.222355+00:00
