instance_id,content_id,asset_id,original_path,relative_path,filename,extension,parent_directory,source_root,width,height,file_size_bytes,modified_time,sha256,duplicate_group,vision_domain,asset_role,image_scope,scan_status,scan_error
file_b040dd17ca19329c,asset_1bb199c29d32b6fe,asset_1bb199c29d32b6fe,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\google_play_pill_edge.png,ads2\assets\1_templates\close_glyphs\google_play_pill_edge.png,google_play_pill_edge.png,.png,ads2\assets\1_templates\close_glyphs,ads2\assets\1_templates,118,19,394,2026-07-10T10:53:49.117062+00:00,1bb199c29d32b6fe83316afbc981a403646878f8e7795e46be58108f3bd670a6,,ads,template,crop,ok,
file_670c62c5320205f4,asset_d37ef6afc1bb29cb,asset_d37ef6afc1bb29cb,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\skip_next_edge.png,ads2\assets\1_templates\close_glyphs\skip_next_edge.png,skip_next_edge.png,.png,ads2\assets\1_templates\close_glyphs,ads2\assets\1_templates,31,18,178,2026-07-10T10:53:49.114583+00:00,d37ef6afc1bb29cb8e700ca7de8172bbf9621afc515307fd0115d1c7bf9b88fe,,ads,template,crop,ok,
file_bb614e957ab55bfb,asset_d6d7c33a252f2dc5,asset_d6d7c33a252f2dc5,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\skip_next_text_edge.png,ads2\assets\1_templates\close_glyphs\skip_next_text_edge.png,skip_next_text_edge.png,.png,ads2\assets\1_templates\close_glyphs,ads2\assets\1_templates,62,14,231,2026-07-10T11:08:58.080884+00:00,d6d7c33a252f2dc5411600e17ab673bf359a78d47971eed53f3c6eb2b80f3b38,,ads,template,crop,ok,
file_245ef374f6c4268c,asset_7dbc3094aa7539f0,asset_7dbc3094aa7539f0,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ad_issue_20260606_042257_roi_0.png,.png,ads2\assets\1_templates\close_icons,ads2\assets\1_templates,145,29,7111,2026-07-04T09:08:30.412925+00:00,7dbc3094aa7539f052d45ebcb2dd5ee8cdaf4540fe83e6c8fbe28ac5232a54e8,,ads,template,crop,ok,
file_c1b82b89ebab2308,asset_d94a12829e570c5c,asset_d94a12829e570c5c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ad_issue_20260606_042353_roi_0.png,.png,ads2\assets\1_templates\close_icons,ads2\assets\1_templates,31,35,879,2026-07-04T09:08:30.413925+00:00,d94a12829e570c5ca9f3981a83da27b96175a4ac4f42145c8e2c7cad2bb063b6,dup_d94a12829e570c5c,ads,template,crop,ok,
file_0796700f3e89b234,asset_62c0598db37c8764,asset_62c0598db37c8764,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ad_issue_20260606_042429_roi_0.png,.png,ads2\assets\1_templates\close_icons,ads2\assets\1_templates,32,28,1072,2026-07-04T09:08:30.413925+00:00,62c0598db37c876425d3c0719a8fea14071bfaaf34b83a1985f9a68fa785445d,dup_62c0598db37c8764,ads,template,crop,ok,
file_ed7ecf2d8c86d633,asset_643bd48faa917df4,asset_643bd48faa917df4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ad_issue_20260606_043419_roi_0.png,.png,ads2\assets\1_templates\close_icons,ads2\assets\1_templates,36,39,1766,2026-07-04T09:08:30.413925+00:00,643bd48faa917df4da94b0071a4f7367da4ed39439527e5a6835421aff4ebc32,dup_643bd48faa917df4,ads,template,crop,ok,
file_e98356e6d5b0d025,asset_759712a0fa58d9bb,asset_759712a0fa58d9bb,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ad_issue_20260606_044156_roi_0.png,.png,ads2\assets\1_templates\close_icons,ads2\assets\1_templates,38,36,605,2026-07-04T09:08:30.413925+00:00,759712a0fa58d9bb2a805f60ae42bc7ee5794d8640e25d6f63b6e98caaf46540,,ads,template,crop,ok,
file_ff68673e47bf2194,asset_811965ed2f4bf3fe,asset_811965ed2f4bf3fe,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ad_issue_20260606_044653_roi_0.png,.png,ads2\assets\1_templates\close_icons,ads2\assets\1_templates,33,30,863,2026-07-04T09:08:30.413925+00:00,811965ed2f4bf3feec93c41805fb3b010c1baae94a3b03f75d8b2e6514c1a0e9,dup_811965ed2f4bf3fe,ads,template,crop,ok,
file_0c54c714e6e4e54c,asset_ef19a71539533c38,asset_ef19a71539533c38,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ad_issue_20260606_044717_roi_0.png,.png,ads2\assets\1_templates\close_icons,ads2\assets\1_templates,23,22,764,2026-07-04T09:08:30.413925+00:00,ef19a71539533c38295d528291c458cde3b90cdf11b70ea12c301b0bac465e2c,dup_ef19a71539533c38,ads,template,crop,ok,
