source_root,vision_domain,asset_role,image_scope,image_count,total_size_bytes,error_count,files_in_duplicate_groups,redundant_copy_occurrences
AwayFromKeyboard\debug,game,debug_output,crop,4,248289,0,0,0
AwayFromKeyboard\debug,game,debug_output,fullscreen,42,22232285,0,0,0
AwayFromKeyboard\integration_task\templates,game,template,crop,10,73933,0,0,0
AwayFromKeyboard\integration_task\templates,game,template,unknown,1,19065,0,0,0
AwayFromKeyboard\route_screenshots,game,reference_screen,fullscreen,65,40589720,0,44,14
ads2\assets\1_templates,ads,template,crop,89,348737,0,56,1
ads2\assets\1_templates,ads,template,fullscreen,5,1752705,0,0,0
ads2\assets\1_templates,ads,template,unknown,1,15273,0,1,0
ads2\assets\2_communication,ads,review_asset,crop,56,264086,0,42,42
ads2\assets\2_communication,ads,review_asset,fullscreen,171,83820913,0,46,23
ads2\assets\2_communication,ads,review_asset,unknown,13,5443091,0,4,2
ads2\assets\3_reference_screens,ads,reference_screen,fullscreen,29,34515409,0,0,0
ads2\assets\3_reference_screens,ads,reference_screen,unknown,12,5537867,0,0,0
ads2\assets\review_crops,ads,candidate_crop,crop,560,32529950,0,81,51
ads2\assets\review_crops,ads,candidate_crop,sheet_or_composite,2,334606,0,0,0
arcane_forge\assets\manual,game,manual_screenshot,crop,12,41695,0,2,1
arcane_forge\assets\manual,game,manual_screenshot,fullscreen,10,3835302,0,0,0
assets,game,template,crop,212,1023932,0,83,14
assets,game,template,unknown,3,53610,0,1,0
assets,unknown,template,crop,26,198276,0,10,8
assets,unknown,template,unknown,1,6212,0,0,0
close_x_classifier\data\review_batch_001,ads,review_asset,crop,465,3275105,0,464,291
close_x_classifier\data\review_batch_001,ads,review_asset,sheet_or_composite,1,774782,0,0,0
close_x_classifier\data\stage0_6_canonical_object_poc,ads,candidate_crop,crop,236,1075195,0,115,82
close_x_classifier\data\stage0_6_canonical_object_poc,ads,candidate_crop,sheet_or_composite,1,832307,0,0,0
close_x_classifier\review,ads,review_asset,crop,1,27331,0,1,1
close_x_classifier\runtime_collection_dryrun,ads,runtime_collection,crop,4,15656,0,4,0
close_x_classifier\runtime_collection_dryrun,ads,runtime_collection,fullscreen,2,3038052,0,2,0
close_x_classifier\runtime_collection_dryrun_2,ads,runtime_collection,crop,4,15656,0,4,4
close_x_classifier\runtime_collection_dryrun_2,ads,runtime_collection,fullscreen,2,3038052,0,2,2
close_x_classifier\runtime_collection_dryrun_abstain,ads,runtime_collection,crop,4,15656,0,4,4
close_x_classifier\runtime_collection_dryrun_abstain,ads,runtime_collection,fullscreen,1,3025656,0,1,1
close_x_classifier\runtime_collection_dryrun_all,ads,runtime_collection,crop,4,15656,0,4,4
close_x_classifier\runtime_collection_dryrun_all,ads,runtime_collection,fullscreen,5,15128280,0,5,5
close_x_classifier\runtime_collection_dryrun_max3,ads,runtime_collection,crop,4,15656,0,4,4
close_x_classifier\runtime_collection_dryrun_max3,ads,runtime_collection,fullscreen,4,12102624,0,4,4
close_x_classifier\runtime_collection_test_x,ads,runtime_collection,crop,4,35478,0,0,0
log,unknown,runtime_log,crop,192,773437,0,90,52
log,unknown,runtime_log,fullscreen,3770,1928732811,0,2,1
magic_shop\assets,game,template,crop,18,105628,0,0,0
magic_shop\assets,game,template,fullscreen,1,410227,0,1,0
manual_screenshots,ads,manual_screenshot,crop,1,3149,0,0,0
manual_screenshots,ads,manual_screenshot,fullscreen,12,7217503,0,8,8
manual_screenshots,game,manual_screenshot,crop,109,352552,0,98,93
manual_screenshots,game,manual_screenshot,fullscreen,309,163853603,0,31,27
manual_screenshots,game,manual_screenshot,sheet_or_composite,2,4039370,0,0,0
manual_screenshots,game,manual_screenshot,unknown,2,29926,0,2,1
switch_account\templates,game,template,crop,23,134992,0,1,1
switch_account\templates,game,template,unknown,6,22581,0,1,1
vision_platform\ads\collections,ads,candidate_crop,crop,1680,45102021,0,1225,821
vision_platform\ads\hard_negative_mining,ads,candidate_crop,crop,974,4573232,0,935,681
vision_platform\ads\hard_negative_mining,ads,candidate_crop,sheet_or_composite,2,542914,0,0,0
vision_platform\ads\runtime_collection,ads,runtime_collection,crop,5200,78580511,0,1821,1526
vision_platform\ads\runtime_collection,ads,runtime_collection,fullscreen,2323,1031664464,0,471,303
vision_platform\ads\runtime_collection,ads,runtime_collection,sheet_or_composite,6,5609871,0,0,0
vision_platform\ads\runtime_collection,ads,runtime_collection,unknown,24,15471816,0,8,8
